"","ID","Lat","Lon","Year","Miss Tmax","Miss Tmin","Miss Prcp","Avg Temp","Avg Tmax","Avg Tmin","ToT Prcp","Max Tmax","Min Tmax","Max Tmin","Min Tmin","Warm Days","Warm Nights","Cold Days","Cold Nights","Max 1-day P","Max 5-day P","Wet Days"
"1996-12-31","USW00023160",32.1314,-110.9553,1996,0,0,0,70.56,84.56,56.56,10.5,107,52,82,26,12.88,21.92,7.67,5.21,1.72,2.6,8.84
"1997-12-31","USW00023160",32.1314,-110.9553,1997,0,0,0,69.79,83.25,56.33,10.56,110,41,82,26,10.68,21.1,12.6,6.03,0.61,0.98,7.86
"1998-12-31","USW00023160",32.1314,-110.9553,1998,0,0,0,68.15,82.02,54.28,13.62,110,48,82,26,8.22,16.71,13.7,5.48,0.99,2.07,11.68
"1999-12-31","USW00023160",32.1314,-110.9553,1999,0,0,0,69.64,84.41,54.88,9.68,107,50,79,24,5.21,18.36,7.4,8.49,1.48,2.32,8.03
"2000-12-31","USW00023160",32.1314,-110.9553,2000,0,0,0,69.97,83.99,55.94,12.43,108,51,83,27,11.23,21.1,10.41,6.3,1.53,2.44,9.96
"2001-12-31","USW00023160",32.1314,-110.9553,2001,0,0,0,69.74,83.49,55.98,7.81,111,45,82,27,10.41,19.73,15.34,9.86,0.7,0.94,5.42
"2002-12-31","USW00023160",32.1314,-110.9553,2002,0,0,0,70.04,84.19,55.9,7.83,109,45,82,24,13.97,22.19,10.14,6.85,0.96,1.68,6.89
"2003-12-31","USW00023160",32.1314,-110.9553,2003,0,0,0,70.72,84.42,57.02,10.05,110,47,84,19,11.78,20.27,8.22,4.38,1.33,1.71,7.84
"2004-12-31","USW00023160",32.1314,-110.9553,2004,0,0,0,69.3,82.32,56.28,7.6,107,48,84,27,8.22,16.99,14.52,6.3,0.71,1.35,5.54
"2005-12-31","USW00023160",32.1314,-110.9553,2005,0,0,0,70.75,84.04,57.47,9.57,111,51,86,28,13.15,22.74,8.77,3.29,2.29,2.44,6.72
"2006-12-31","USW00023160",32.1314,-110.9553,2006,0,0,0,70.23,83.91,56.55,11.81,110,44,89,26,9.59,20.55,8.22,6.3,1.9,3.83,10.04
"2007-12-31","USW00023160",32.1314,-110.9553,2007,0,0,0,70.48,84.09,56.87,9.78,110,45,87,20,13.42,21.92,15.34,9.32,1.49,3.08,8.51
"2008-12-31","USW00023160",32.1314,-110.9553,2008,0,0,0,69.96,83.73,56.19,8.62,111,45,81,26,8.49,20.27,10.41,4.66,1.73,1.97,6.68
"2009-12-31","USW00023160",32.1314,-110.9553,2009,0,0,0,71.18,85.08,57.28,5.67,109,51,84,27,13.7,21.64,9.04,5.21,0.78,1.09,3.91
"2010-12-31","USW00023160",32.1314,-110.9553,2010,1,1,0,70.06,83.51,56.6,11.13,109,45,87,23,15.07,23.56,10.96,2.74,1.21,1.77,8.41
"2011-12-31","USW00023160",32.1314,-110.9553,2011,0,0,0,69.94,84.12,55.75,12.23,112,38,84,18,13.7,21.64,11.78,8.49,2.84,3.34,10.52
"2012-12-31","USW00023160",32.1314,-110.9553,2012,0,0,0,71.35,85.61,57.09,7.91,109,50,83,29,13.7,22.47,8.49,3.56,1.06,2.53,6.11
"2013-12-31","USW00023160",32.1314,-110.9553,2013,0,0,0,70.92,84.53,57.31,8.53,112,44,84,17,15.07,25.21,11.78,9.04,1.21,2.1,7.09
"2014-12-31","USW00023160",32.1314,-110.9553,2014,0,0,0,72.19,85.66,58.72,10.19,108,50,86,28,12.6,27.67,4.93,2.74,1.84,2.15,8.74
"2015-12-31","USW00023160",32.1314,-110.9553,2015,0,0,0,71.54,84.52,58.56,13.42,110,41,84,27,11.78,26.03,8.22,5.21,1.49,2.23,10.79
"2016-12-31","USW00023160",32.1314,-110.9553,2016,0,0,0,72.1,85.89,58.3,11.81,115,50,83,28,12.6,21.37,6.58,3.84,1.25,2.1,9.6
"2017-12-31","USW00023160",32.1314,-110.9553,2017,2,2,0,73.25,87.24,59.25,10.77,116,52,87,28,15.62,24.11,6.58,1.92,1.48,2.39,9.63
"2018-12-31","USW00023160",32.1314,-110.9553,2018,0,0,0,71.76,85.21,58.31,13.44,111.9,50,87.1,26.2,14.52,24.93,6.85,2.47,1.01,1.7,11.55
"2019-12-31","USW00023160",32.1314,-110.9553,2019,0,0,0,70.28,83.65,56.92,13.62,109.9,44.1,86,27.1,15.62,21.92,11.51,6.3,1.1,1.67,11.46
"2020-12-31","USW00023160",32.1314,-110.9553,2020,0,1,0,72.6,86.9,58.29,4.17,113,48,89.1,24.3,23.84,25.21,7.12,4.93,0.78,0.78,2.77
"2021-12-31","USW00023160",32.1314,-110.9553,2021,0,0,0,71.92,85.86,57.99,15.19,115,48,84,30.2,12.05,21.37,5.48,2.74,2.15,5.03,13.34
